file,start_time,end_time
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,168.0,169.2
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,169.2,170.4
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,170.4,171.6
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,171.6,172.8
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,172.8,174.0
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,174.0,175.2
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,175.2,176.4
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,176.4,177.6
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,177.6,178.8
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,178.8,180.0
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,180.0,181.2
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,181.2,182.4
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,182.4,183.6
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,183.6,184.8
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,184.8,186.0
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,186.0,187.2
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,187.2,188.4
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,188.4,189.6
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,189.6,190.8
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,190.8,192.0
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,192.0,193.2
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,193.2,194.4
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,194.4,195.6
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,195.6,196.8
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,196.8,198.0
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,198.0,199.2
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,199.2,200.4
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,200.4,201.6
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,201.6,202.8
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,202.8,204.0
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,204.0,205.2
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,205.2,206.4
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,206.4,207.6
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,207.6,208.8
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,208.8,210.0
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,210.0,211.2
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,211.2,212.4
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,212.4,213.6
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,213.6,214.8
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,214.8,216.0
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,216.0,217.2
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,217.2,218.4
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,218.4,219.6
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,219.6,220.8
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,220.8,222.0
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,222.0,223.2
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,223.2,224.4
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,224.4,225.6
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,225.6,226.8
